image_name,source_format,source_width,source_height,source_bytes,resize_px,jpeg_quality,run_no,ok,status,encode_ms,latency_ms,payload_bytes,jpeg_width,jpeg_height,prompt_tokens,completion_tokens,total_tokens,error_detail
01.webp,webp,2400,1800,546120,256,40,1,true,200,31.88,320.45,12267,256,192,89,16,105,
01.webp,webp,2400,1800,546120,256,50,1,true,200,33.18,230.65,14095,256,192,89,16,105,
01.webp,webp,2400,1800,546120,256,60,1,true,200,30.14,236.31,16091,256,192,89,16,105,
01.webp,webp,2400,1800,546120,256,70,1,true,200,30.99,253.51,18975,256,192,89,16,105,
01.webp,webp,2400,1800,546120,256,80,1,true,200,34.8,191.25,23327,256,192,89,12,101,
01.webp,webp,2400,1800,546120,384,40,1,true,200,32.1,252.46,24187,384,288,149,16,165,
01.webp,webp,2400,1800,546120,384,50,1,true,200,37.89,256.32,27743,384,288,149,16,165,
01.webp,webp,2400,1800,546120,384,60,1,true,200,33.34,259.41,31643,384,288,149,16,165,
01.webp,webp,2400,1800,546120,384,70,1,true,200,33.43,276.86,37419,384,288,149,16,165,
01.webp,webp,2400,1800,546120,384,80,1,true,200,32.66,289.29,46407,384,288,149,16,165,
01.webp,webp,2400,1800,546120,512,40,1,true,200,80.89,300.39,39231,512,384,233,16,249,
01.webp,webp,2400,1800,546120,512,50,1,true,200,50.94,318.63,45247,512,384,233,16,249,
01.webp,webp,2400,1800,546120,512,60,1,true,200,52.95,247.67,51447,512,384,233,16,249,
01.webp,webp,2400,1800,546120,512,70,1,true,200,64.39,305.35,60895,512,384,233,16,249,
01.webp,webp,2400,1800,546120,512,80,1,true,200,78.88,372.89,75747,512,384,233,16,249,
01.webp,webp,2400,1800,546120,768,40,1,true,200,101.7,440.28,75931,768,576,473,16,489,
01.webp,webp,2400,1800,546120,768,50,1,true,200,67.99,428.58,87735,768,576,473,16,489,
01.webp,webp,2400,1800,546120,768,60,1,true,200,104.33,425.39,100295,768,576,473,16,489,
01.webp,webp,2400,1800,546120,768,70,1,true,200,88.71,412.97,119267,768,576,473,16,489,
01.webp,webp,2400,1800,546120,768,80,1,true,200,60.18,484.65,149047,768,576,473,16,489,
01.webp,webp,2400,1800,546120,1024,40,1,true,200,86.65,565.86,121239,1024,768,809,16,825,
01.webp,webp,2400,1800,546120,1024,50,1,true,200,115.14,581.27,140495,1024,768,809,16,825,
01.webp,webp,2400,1800,546120,1024,60,1,true,200,90.28,566.39,161163,1024,768,809,16,825,
01.webp,webp,2400,1800,546120,1024,70,1,true,200,72.83,1843.07,192303,1024,768,809,16,825,
01.webp,webp,2400,1800,546120,1024,80,1,true,200,46.71,581.22,242019,1024,768,809,16,825,
02.webp,webp,1416,2000,694344,256,40,1,true,200,41.58,264.81,11839,181,256,89,12,101,
02.webp,webp,1416,2000,694344,256,50,1,true,200,36.59,215.59,13531,181,256,89,12,101,
02.webp,webp,1416,2000,694344,256,60,1,true,200,35.67,226,15227,181,256,89,12,101,
02.webp,webp,1416,2000,694344,256,70,1,true,200,35.49,213.66,17639,181,256,89,12,101,
02.webp,webp,1416,2000,694344,256,80,1,true,200,35.64,230.73,21223,181,256,89,12,101,
02.webp,webp,1416,2000,694344,384,40,1,true,200,40.55,268.91,23983,272,384,149,12,161,
02.webp,webp,1416,2000,694344,384,50,1,true,200,39.78,256.74,27295,272,384,149,12,161,
02.webp,webp,1416,2000,694344,384,60,1,true,200,37.29,240.22,30635,272,384,149,12,161,
02.webp,webp,1416,2000,694344,384,70,1,true,200,38.12,245.15,35591,272,384,149,12,161,
02.webp,webp,1416,2000,694344,384,80,1,true,200,39.25,243.33,43159,272,384,149,12,161,
02.webp,webp,1416,2000,694344,512,40,1,true,200,42.03,270.04,39627,362,512,217,12,229,
02.webp,webp,1416,2000,694344,512,50,1,true,200,38.86,272.69,44939,362,512,217,12,229,
