image_name,resize_px,jpeg_quality,requested_runs,ok_runs,avg_prompt_tokens,avg_latency_ms,avg_payload_bytes
01.webp,256,40,1,1,89,320.45,12267
01.webp,256,50,1,1,89,230.65,14095
01.webp,256,60,1,1,89,236.31,16091
01.webp,256,70,1,1,89,253.51,18975
01.webp,256,80,1,1,89,191.25,23327
01.webp,384,40,1,1,149,252.46,24187
01.webp,384,50,1,1,149,256.32,27743
01.webp,384,60,1,1,149,259.41,31643
01.webp,384,70,1,1,149,276.86,37419
01.webp,384,80,1,1,149,289.29,46407
01.webp,512,40,1,1,233,300.39,39231
01.webp,512,50,1,1,233,318.63,45247
01.webp,512,60,1,1,233,247.67,51447
01.webp,512,70,1,1,233,305.35,60895
01.webp,512,80,1,1,233,372.89,75747
01.webp,768,40,1,1,473,440.28,75931
01.webp,768,50,1,1,473,428.58,87735
01.webp,768,60,1,1,473,425.39,100295
01.webp,768,70,1,1,473,412.97,119267
01.webp,768,80,1,1,473,484.65,149047
01.webp,1024,40,1,1,809,565.86,121239
01.webp,1024,50,1,1,809,581.27,140495
01.webp,1024,60,1,1,809,566.39,161163
01.webp,1024,70,1,1,809,1843.07,192303
01.webp,1024,80,1,1,809,581.22,242019
02.webp,256,40,1,1,89,264.81,11839
02.webp,256,50,1,1,89,215.59,13531
02.webp,256,60,1,1,89,226,15227
02.webp,256,70,1,1,89,213.66,17639
02.webp,256,80,1,1,89,230.73,21223
02.webp,384,40,1,1,149,268.91,23983
02.webp,384,50,1,1,149,256.74,27295
02.webp,384,60,1,1,149,240.22,30635
02.webp,384,70,1,1,149,245.15,35591
02.webp,384,80,1,1,149,243.33,43159
02.webp,512,40,1,1,217,270.04,39627
02.webp,512,50,1,1,217,272.69,44939
02.webp,512,60,1,1,217,193.75,50535
02.webp,512,70,1,1,217,272.86,58559
02.webp,512,80,1,1,217,272.6,70579
02.webp,768,40,1,1,449,359.82,82679
02.webp,768,50,1,1,449,361.58,94771
02.webp,768,60,1,1,449,363.11,108127
02.webp,768,70,1,1,449,378.83,127659
02.webp,768,80,1,1,449,451.03,157147
02.webp,1024,40,1,1,777,544.08,142875
02.webp,1024,50,1,1,777,524.69,163367
02.webp,1024,60,1,1,777,537.12,185335
02.webp,1024,70,1,1,777,556.74,217347
02.webp,1024,80,1,1,777,571.23,265411
03.webp,256,40,1,1,89,229.39,12643
03.webp,256,50,1,1,89,205.94,14399
03.webp,256,60,1,1,89,215.85,16203
03.webp,256,70,1,1,89,200.85,18887
03.webp,256,80,1,1,89,216.92,22779
03.webp,384,40,1,1,149,224.86,25511
03.webp,384,50,1,1,149,244.24,29143
03.webp,384,60,1,1,149,228.89,32747
03.webp,384,70,1,1,149,244.75,38095
03.webp,384,80,1,1,149,257.01,46019
03.webp,512,40,1,1,217,273.49,42939
03.webp,512,50,1,1,217,271.87,48831
03.webp,512,60,1,1,217,366.4,54931
03.webp,512,70,1,1,217,279.48,63603
03.webp,512,80,1,1,217,272.57,76315
03.webp,768,40,1,1,449,428.03,87851
